order,orig_org_id,db_org_id,diff,base_org_id,suffix,diff2,db_org_id,db_sup_org_id
112,125-ORDBN,125-ORDBN,-,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL,-,125-ORDBN,7-CSG
113,452-ORDCO,452-ORDCO,-,452-ORDCO,7-CSG.5-CORPS.ARMY.MIL,-,452-ORDCO,125-ORDBN
114,529-ORDCO,529-ORDCO,-,529-ORDCO,7-CSG.5-CORPS.ARMY.MIL,-,529-ORDCO,125-ORDBN
115,21-TSC-HQ,21-TSC-HQ,-,21-TSC-HQ,ARMY.MIL,-,21-TSC-HQ,USAEUR
116,AWR-2,AWR-2,-,AWR-2,21-TSC.ARMY.MIL,-,AWR-2,21-TSC-HQ
117,200-MMC,200-MMC,-,200-MMC,21-TSC.ARMY.MIL,-,200-MMC,21-TSC-HQ
118,RSA,RSA,-,RSA,21-TSC.ARMY.MIL,-,RSA,21-TSC-HQ
119,7-TCGP-TPTDD,7-TCGP-TPTDD,-,7-TCGP-TPTDD,21-TSC.ARMY.MIL,-,7-TCGP-TPTDD,21-TSC-HQ
120,29-SPTGP,29-SPTGP,-,29-SPTGP,21-TSC.ARMY.MIL,-,29-SPTGP,21-TSC-HQ
121,51-MAINTBN,51-MAINTBN,-,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL,-,51-MAINTBN,29-SPTGP
122,512-MAINTCO,512-MAINTCO,-,512-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL,-,512-MAINTCO,51-MAINTBN
123,574-SSCO,574-SSCO,-,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,-,574-SSCO,51-MAINTBN
124,5-MAINTCO,5-MAINTCO,-,5-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL,-,5-MAINTCO,51-MAINTBN
125,343-SUPPLYCO,343-SUPPLYCO,-,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL,-,343-SUPPLYCO,51-MAINTBN
126,18-PERISH-SUBPLT,18-PERISH-SUBPLT,-,18-PERISH-SUBPLT,29-SPTGP.21-TSC.ARMY.MIL,-,18-PERISH-SUBPLT,51-MAINTBN
127,191-ORDBN,191-ORDBN,-,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL,-,191-ORDBN,29-SPTGP
128,23-ORDCO,23-ORDCO,-,23-ORDCO,29-SPTGP.21-TSC.ARMY.MIL,-,23-ORDCO,191-ORDBN
129,702-EODDET,702-EODDET,-,702-EODDET,29-SPTGP.21-TSC.ARMY.MIL,-,702-EODDET,191-ORDBN
130,720-EODDET,720-EODDET,-,720-EODDET,29-SPTGP.21-TSC.ARMY.MIL,-,720-EODDET,191-ORDBN
131,24-ORDCO,24-ORDCO,-,24-ORDCO,29-SPTGP.21-TSC.ARMY.MIL,-,24-ORDCO,191-ORDBN
132,37-TRANSGP,37-TRANSGP,-,37-TRANSGP,21-TSC.ARMY.MIL,-,37-TRANSGP,21-TSC-HQ
133,28-TCBN,28-TCBN,-,28-TCBN,37-TRANSGP.21-TSC.ARMY.MIL,-,28-TCBN,37-TRANSGP
134,66-MDM-TRKCO,66-MDM-TRKCO,-,66-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,-,66-MDM-TRKCO,28-TCBN
135,68-MDM-TRKCO,68-MDM-TRKCO,-,68-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,-,68-MDM-TRKCO,28-TCBN
136,109-MDM-TRKCO,109-MDM-TRKCO,-,109-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,-,109-MDM-TRKCO,28-TCBN
137,6-TCBN,6-TCBN,-,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL,-,6-TCBN,37-TRANSGP
138,416-POL-TRKCO,416-POL-TRKCO,-,416-POL-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,-,416-POL-TRKCO,6-TCBN
139,110-POL-SUPPLYCO,110-POL-SUPPLYCO,-,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL,-,110-POL-SUPPLYCO,6-TCBN
140,632-MAINTCO,632-MAINTCO,-,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL,-,632-MAINTCO,6-TCBN
