order,orig_org_id,base_org_id,suffix,,combat_support,echelon,echelon_group,"is_
deployable","has_
physical_
assets","has_
equipment_
assets","has_
personnel_
assets",uic,"home_
location"
79,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WELQAA,HDBL
80,596-MAINTCO,596-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WE7LAA,MBME
81,26-SSCO,26-SSCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WH1LAA,LGKU
82,588-MAINTCO,588-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WD4MAA,HKNN
83,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WQ92AA,BQKY
84,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WB0MAA,LGKU
85,77-MAINTCO,77-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WB35AA,ASYB
86,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WD4PAA,HKNN
87,263-FLDSVC-CO,263-FLDSVC-CO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WQ1FAA,HCRL
88,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WEVGAA,HDBL
89,106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WCKVAA,HDBL
90,594-MDM-TRKCO,594-MDM-TRKCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCPGAA,HDBL
91,372-CGO-TRANSCO,372-CGO-TRANSCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WFSRAA,HDBL
92,15-PLS-TRKCO,15-PLS-TRKCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCNPAA,HKNN
93,238-POL-TRKCO,238-POL-TRKCO,16-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WS1AAA,GBGV
94,7-CSG,7-CSG,5-CORPS.ARMY.MIL,,CSS,GROUP,Corps,Y,Y,Y,Y,WH7MAA,AVFD
95,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WB0RAA,YKLA
96,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WE7PAA,YKLA
97,317-MAINTCO,317-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WET9AA,YKLA
