order,orig_org_id,base_org_id,suffix,org_name,combat_support,echelon,echelon_group,is_ua,is_deployable,has_physical_assets,has_equipment_assets,has_personnel_assets,uic,home_location
98,22-SIGBDE,22-SIGBDE,5-CORPS.ARMY.MIL,22-SIGBDE,CSS,BRIGADE,Corps,N,Y,Y,Y,Y,WCDWAA,EARZ
99,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL,3-SUPCOM-HQ,CSS,DIVISION,Corps,N,Y,Y,Y,Y,WBG0AA,YRBU
100,208-SCCO,208-SCCO,5-CORPS.ARMY.MIL,208-SCCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCF0AA,HCRL
101,27-TCBN-MVTCTRL,27-TCBN-MVTCTRL,5-CORPS.ARMY.MIL,27-TCBN-MVTCTRL,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WCPPAA,YRBU
102,19-MMC,19-MMC,5-CORPS.ARMY.MIL,19-MMC,CSS,GROUP,Corps,N,Y,Y,Y,Y,WH3FAA,YXUR
103,16-CSG,16-CSG,5-CORPS.ARMY.MIL,16-CSG,CSS,GROUP,Corps,N,Y,Y,Y,Y,WC9GAA,LGKU
104,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL,485-CSB,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WB0UAA,LGKU
105,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,102-POL-SUPPLYCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WELQAA,HDBL
106,596-MAINTCO,596-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,596-MAINTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WE7LAA,MBME
107,26-SSCO,26-SSCO,16-CSG.5-CORPS.ARMY.MIL,26-SSCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WH1LAA,LGKU
108,588-MAINTCO,588-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,588-MAINTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WD4MAA,HKNN
109,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL,592-ORDCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WQ92AA,BQKY
110,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL,18-MAINTBN,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WB0MAA,LGKU
111,77-MAINTCO,77-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,77-MAINTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WB35AA,ASYB
112,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,226-MAINTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WD4PAA,HKNN
113,263-FLDSVC-CO,263-FLDSVC-CO,16-CSG.5-CORPS.ARMY.MIL,263-FLDSVC-CO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WQ1FAA,HCRL
114,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,227-SUPPLYCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WEVGAA,HDBL
115,106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL,106-TCBN,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WCKVAA,HDBL
116,594-MDM-TRKCO,594-MDM-TRKCO,16-CSG.5-CORPS.ARMY.MIL,594-MDM-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCPGAA,HDBL
117,372-CGO-TRANSCO,372-CGO-TRANSCO,16-CSG.5-CORPS.ARMY.MIL,372-CGO-TRANSCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WFSRAA,HDBL
118,15-PLS-TRKCO,15-PLS-TRKCO,16-CSG.5-CORPS.ARMY.MIL,15-PLS-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCNPAA,HKNN
119,238-POL-TRKCO,238-POL-TRKCO,16-CSG.5-CORPS.ARMY.MIL,238-POL-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WS1AAA,GBGV
120,7-CSG,7-CSG,5-CORPS.ARMY.MIL,7-CSG,CSS,GROUP,Corps,N,Y,Y,Y,Y,WH7MAA,AVFD
121,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL,71-MAINTBN,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WB0RAA,YKLA
122,240-SSCO,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,240-SSCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WE7PAA,YKLA
123,317-MAINTCO,317-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,317-MAINTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WET9AA,YKLA
124,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,597-MAINTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WHLMAA,HFTZ
125,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,565-RPRPTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WDWTAA,HFTZ
126,71-ORDCO,71-ORDCO,7-CSG.5-CORPS.ARMY.MIL,71-ORDCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WET5AA,LGKU
127,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL,561-SSBN,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WDEEAA,HDBL
128,541-POL-TRKCO,541-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,541-POL-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCNDAA,HDBL
129,584-MAINTCO,584-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,584-MAINTCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WEYBAA,HDBL
130,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,406-SUPPLYCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WEVHAA,HCTL
131,181-TCBN,181-TCBN,7-CSG.5-CORPS.ARMY.MIL,181-TCBN,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WCKXAA,XJN1
132,377-HVY-TRKCO,377-HVY-TRKCO,7-CSG.5-CORPS.ARMY.MIL,377-HVY-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCMBAA,FRBC
133,41-POL-TRKCO,41-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,41-POL-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCMPAA,VXWV
134,51-MDM-TRKCO,51-MDM-TRKCO,7-CSG.5-CORPS.ARMY.MIL,51-MDM-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCNTAA,XJN1
135,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL,316-POL-SUPPLYBN,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WSRPAA,XJN1
